symbol,direction,open_time,close_time,entry,sl,tp,exit,qty,result,pnl_usdt,pnl_r
ETH/USDT,short,2026-04-19 16:30:00+00:00,2026-04-19 16:34:00+00:00,2318.8,2321.884284,2312.631432,2321.884284,1.726126,loss,-5.3239,-1.0
ETH/USDT,long,2026-04-19 16:36:00+00:00,2026-04-19 16:41:00+00:00,2323.66,2319.516004,2331.947992,2319.516004,1.291205,loss,-5.3507,-1.0
ETH/USDT,short,2026-04-19 16:45:00+00:00,2026-04-19 16:56:00+00:00,2318.59,2323.01451,2309.74098,2309.74098,1.203296,win,10.648,2.0
ETH/USDT,short,2026-04-19 17:52:00+00:00,2026-04-19 18:04:00+00:00,2302.22,2306.081124,2294.497752,2294.497752,1.392661,win,10.7545,2.0
ETH/USDT,long,2026-04-19 18:12:00+00:00,2026-04-19 18:24:00+00:00,2296.26,2293.121284,2302.537432,2293.121284,1.730328,loss,-5.431,-1.0
ETH/USDT,short,2026-04-19 19:26:00+00:00,2026-04-19 20:45:00+00:00,2295.64,2301.51021,2283.89958,2283.89958,0.920555,win,10.8077,2.0
ETH/USDT,short,2026-04-19 20:03:00+00:00,2026-04-19 20:22:00+00:00,2295.25,2298.449598,2288.850804,2288.850804,1.688916,win,10.8077,2.0
ETH/USDT,long,2026-04-19 21:39:00+00:00,2026-04-19 21:49:00+00:00,2288.07,2284.822944,2294.564112,2284.822944,1.697516,loss,-5.5119,-1.0
ETH/USDT,short,2026-04-19 22:02:00+00:00,2026-04-19 22:02:00+00:00,2274.0,2277.365382,2267.269236,2267.269236,1.629643,win,10.9687,2.0
ETH/USDT,long,2026-04-19 22:34:00+00:00,2026-04-19 22:55:00+00:00,2265.36,2261.557598,2272.964804,2272.964804,1.456767,win,11.0784,2.0
ETH/USDT,short,2026-04-19 23:04:00+00:00,2026-04-20 00:17:00+00:00,2262.06,2272.494408,2241.191184,2272.494408,0.536169,loss,-5.5946,-1.0
ETH/USDT,long,2026-04-19 23:20:00+00:00,2026-04-19 23:20:00+00:00,2263.12,2259.408028,2270.543944,2270.543944,1.507179,win,11.1892,2.0
ETH/USDT,long,2026-04-19 23:39:00+00:00,2026-04-19 23:59:00+00:00,2265.43,2262.067496,2272.155008,2262.067496,1.68046,loss,-5.6506,-1.0
ETH/USDT,long,2026-04-20 01:56:00+00:00,2026-04-20 02:01:00+00:00,2287.67,2284.363036,2294.283928,2284.363036,1.691681,loss,-5.5943,-1.0
ETH/USDT,short,2026-04-20 02:04:00+00:00,2026-04-20 02:19:00+00:00,2282.18,2285.30697,2275.92606,2275.92606,1.780112,win,11.1327,2.0
