symbol,direction,open_time,close_time,entry,sl,tp,exit,qty,result,gross_pnl,fees_paid,pnl_usdt,pnl_r,liq_price
ETH/USDT,short,2025-04-10 03:30:00+00:00,2025-04-10 04:05:00+00:00,1615.961615,1626.305196,1559.81,1626.305196,0.015066,loss,-0.1558,0.0244,-0.1803,-1.157,
ETH/USDT,short,2025-04-10 04:15:00+00:00,2025-04-10 06:05:00+00:00,1613.617788,1640.328,1530.0,1530.0,0.015066,win,1.2598,0.0237,1.2361,3.072,
ETH/USDT,long,2025-04-10 04:45:00+00:00,2025-04-10 06:00:00+00:00,1612.22571,1606.27868,1638.81,1606.27868,0.015077,loss,-0.0897,0.0243,-0.1139,-1.271,
ETH/USDT,short,2025-04-10 06:00:00+00:00,2025-04-10 06:40:00+00:00,1616.006593,1619.643864,1510.0,1510.0,0.015028,win,1.5931,0.0235,1.5696,28.715,
ETH/USDT,short,2025-04-10 07:40:00+00:00,2025-04-10 07:55:00+00:00,1597.146027,1608.061548,1520.0,1520.0,0.015701,win,1.2112,0.0245,1.1868,6.925,
ETH/USDT,short,2025-04-10 08:40:00+00:00,2025-04-10 09:15:00+00:00,1589.554825,1595.028942,1520.0,1520.0,0.015925,win,1.1077,0.0248,1.0829,12.422,
ETH/USDT,short,2025-04-10 09:10:00+00:00,2025-04-10 09:15:00+00:00,1588.375415,1593.348606,1520.0,1593.348606,0.015935,loss,-0.0792,0.0254,-0.1046,-1.32,
ETH/USDT,long,2025-04-10 09:40:00+00:00,2025-04-10 10:05:00+00:00,1597.548375,1594.681,1610.0,1594.681,0.015968,loss,-0.0458,0.0255,-0.0713,-1.557,
ETH/USDT,long,2025-04-10 10:00:00+00:00,2025-04-10 10:05:00+00:00,1601.770485,1599.100116,1615.0,1599.100116,0.015924,loss,-0.0425,0.0255,-0.068,-1.599,
ETH/USDT,short,2025-04-11 05:10:00+00:00,2025-04-11 05:25:00+00:00,1543.198015,1547.839506,1528.31,1547.839506,0.016512,loss,-0.0766,0.0255,-0.1022,-1.333,
ETH/USDT,long,2025-04-11 05:35:00+00:00,2025-04-11 08:00:00+00:00,1546.617922,1543.04133,1601.0,1543.04133,0.016462,loss,-0.0589,0.0254,-0.0843,-1.432,
ETH/USDT,long,2025-04-11 06:20:00+00:00,2025-04-11 06:25:00+00:00,1558.303762,1553.729192,1601.0,1553.729192,0.016337,loss,-0.0747,0.0254,-0.1002,-1.34,
